DateTime,Location,Meter Name,Commodity Name,Demand/Usage
2017-05-25 09:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),409.2
2017-05-25 11:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),404.4
2017-05-25 12:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),410.4
2017-05-25 12:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),423.6
2017-05-25 14:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),418.8
2017-05-25 15:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),411.6
2017-05-25 15:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),411.6
2017-05-25 17:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),409.2
2017-05-25 18:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),403.2
2017-05-25 18:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),128.4
2017-05-25 20:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),112.8
2017-05-25 21:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),112.8
2017-05-25 21:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),110.4
2017-05-25 23:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),105.6
2017-05-26 00:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),102.0
2017-05-26 00:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),102.0
2017-05-26 02:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),100.8
2017-05-26 03:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),97.2
2017-05-26 03:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),96.0
2017-05-26 05:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),96.0
2017-05-26 06:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),98.4
2017-05-26 06:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),126.0
2017-05-26 08:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),336.0
2017-05-26 09:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),368.4
2017-05-26 09:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),373.2
2017-05-26 11:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),373.2
2017-05-26 12:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),382.8
2017-05-26 12:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),387.6
2017-05-26 14:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),387.6
2017-05-26 15:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),382.8
2017-05-26 15:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),382.8
2017-05-26 17:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),380.4
2017-05-26 18:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),373.2
2017-05-26 18:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),116.4
2017-05-26 20:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),106.8
2017-05-26 21:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),91.2
2017-05-26 21:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),108.0
2017-05-26 23:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),108.0
2017-05-27 00:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),100.8
2017-05-27 00:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),100.8
2017-05-27 02:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),100.8
2017-05-27 03:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),97.2
2017-05-27 03:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),97.2
2017-05-27 05:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),96.0
2017-05-27 06:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),98.4
2017-05-27 06:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),98.4
2017-05-27 08:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),102.0
2017-05-27 09:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),237.6
2017-05-27 09:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),238.8
2017-05-27 11:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),259.2
2017-05-27 12:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),288.0
2017-05-27 12:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),278.4
2017-05-27 14:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),135.6
2017-05-27 15:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),130.8
2017-05-27 15:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),128.4
2017-05-27 17:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),115.2
2017-05-27 18:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),98.4
2017-05-27 18:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),100.8
2017-05-27 20:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),100.8
2017-05-27 21:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),100.8
2017-05-27 21:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),100.8
2017-05-27 23:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),105.6
2017-05-28 00:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),99.6
2017-05-28 00:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),98.4
2017-05-28 02:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),98.4
2017-05-28 03:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),97.2
2017-05-28 03:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),97.2
2017-05-28 05:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),98.4
2017-05-28 06:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),102.0
2017-05-28 06:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),98.4
2017-05-28 08:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),98.4
2017-05-28 09:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),81.6
2017-05-28 09:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),99.6
2017-05-28 11:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),99.6
2017-05-28 12:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),108.0
2017-05-28 12:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),130.8
2017-05-28 14:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),128.4
2017-05-28 15:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),130.8
2017-05-28 15:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),97.2
2017-05-28 17:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),99.6
2017-05-28 18:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),99.6
2017-05-28 18:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),102.0
2017-05-28 20:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),103.2
2017-05-28 21:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),98.4
2017-05-28 21:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),99.6
2017-05-28 23:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),102.0
2017-05-29 00:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),97.2
2017-05-29 00:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),97.2
2017-05-29 02:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),94.8
2017-05-29 03:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),93.6
2017-05-29 03:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),97.2
2017-05-29 05:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),93.6
2017-05-29 06:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),98.4
2017-05-29 06:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),130.8
2017-05-29 08:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),302.4
2017-05-29 09:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),308.4
2017-05-29 09:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),306.0
2017-05-29 11:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),313.2
2017-05-29 12:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),316.8
2017-05-29 12:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),314.4
2017-05-29 14:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),314.4
2017-05-29 15:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),318.0
2017-05-29 15:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),318.0
2017-05-29 17:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),318.0
2017-05-29 18:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),315.6
2017-05-29 18:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),104.4
2017-05-29 20:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),99.6
2017-05-29 21:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),103.2
2017-05-29 21:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),98.4
2017-05-29 23:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),99.6
2017-05-30 00:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),96.0
2017-05-30 00:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),97.2
2017-05-30 02:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),97.2
2017-05-30 03:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),94.8
2017-05-30 03:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),94.8
2017-05-30 05:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),96.0
2017-05-30 06:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),102.0
2017-05-30 06:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),129.6
2017-05-30 08:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),345.6
2017-05-30 09:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),385.2
2017-05-30 09:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),391.2
2017-05-30 11:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),405.6
2017-05-30 12:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),448.8
2017-05-30 12:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),453.6
2017-05-30 14:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),448.8
2017-05-30 15:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),441.6
2017-05-30 15:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),439.2
2017-05-30 17:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),438.0
2017-05-30 18:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),436.8
2017-05-30 18:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),308.4
2017-05-30 20:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),294.0
2017-05-30 21:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),225.6
2017-05-30 21:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),141.6
2017-05-30 23:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),128.4
2017-05-31 00:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),105.6
2017-05-31 00:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),103.2
2017-05-31 02:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),102.0
2017-05-31 03:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),99.6
2017-05-31 03:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),96.0
2017-05-31 05:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),97.2
