Date,HOUR,PUN
2017-06-11,12,39.85736
2017-06-11,13,39.6986
2017-06-11,14,32.28127
2017-06-11,15,28.49112
2017-06-11,16,35.40348
2017-06-11,17,41.98403
2017-06-11,18,40.25
2017-06-11,19,43.58
2017-06-11,20,47.26385
2017-06-11,21,50.34153
2017-06-11,22,51.02818
2017-06-11,23,50.28306
2017-06-11,24,48.52032
2017-06-12,1,44.84132
2017-06-12,2,41.04975
2017-06-12,3,36.78229
2017-06-12,4,35.25875
2017-06-12,5,34.15004
2017-06-12,6,36.00294
2017-06-12,7,42.94477
2017-06-12,8,51.06011
2017-06-12,9,55.44961
2017-06-12,10,55.32358
2017-06-12,11,53.39957
2017-06-12,12,52.28037
2017-06-12,13,50.74858
2017-06-12,14,50.77929
2017-06-12,15,52.7513
2017-06-12,16,56.27632
2017-06-12,17,55.67645
2017-06-12,18,55.41129
2017-06-12,19,58.65
2017-06-12,20,59.73821
2017-06-12,21,61.35656
2017-06-12,22,59.95847
2017-06-12,23,55.56203
2017-06-12,24,54.03819
2017-06-13,1,47.54116
2017-06-13,2,45.78389
2017-06-13,3,42.93716
2017-06-13,4,42.46926
2017-06-13,5,42.16229
2017-06-13,6,39.41292
2017-06-13,7,43.41096
2017-06-13,8,48.08686
2017-06-13,9,55.54629
2017-06-13,10,49.95898
2017-06-13,11,47.28738
2017-06-13,12,47.14203
2017-06-13,13,45.33311
2017-06-13,14,45.37364
2017-06-13,15,46.31488
2017-06-13,16,48.24027
2017-06-13,17,50.78525
2017-06-13,18,49.49575
2017-06-13,19,54.75781
2017-06-13,20,58.33502
2017-06-13,21,60.62976
2017-06-13,22,60.93863
2017-06-13,23,54.3392
2017-06-13,24,50.2402
2017-06-14,1,49.16539
2017-06-14,2,47.65128
2017-06-14,3,45.84515
2017-06-14,4,44.2307
2017-06-14,5,44.98707
2017-06-14,6,46.61844
2017-06-14,7,48.10343
2017-06-14,8,51.31885
2017-06-14,9,68.36615
2017-06-14,10,59.20893
2017-06-14,11,57.25856
2017-06-14,12,56.88652
2017-06-14,13,52.66861
2017-06-14,14,53.69515
2017-06-14,15,56.68295
2017-06-14,16,57.68583
2017-06-14,17,62.70118
2017-06-14,18,61.85387
2017-06-14,19,63.29317
2017-06-14,20,63.0
2017-06-14,21,63.79426
2017-06-14,22,66.59798
2017-06-14,23,57.66728
2017-06-14,24,50.72829
2017-06-15,1,49.7964
2017-06-15,2,47.24994
2017-06-15,3,46.54396
2017-06-15,4,45.29421
2017-06-15,5,44.84582
