Date,Price
2017-08-31,56.78454416666667
2017-09-01,56.18194250000001
2017-09-02,44.307550833333345
2017-09-03,38.71088875
2017-09-04,49.68851083333333
2017-09-05,53.71361958333333
2017-09-06,49.88415916666667
2017-09-07,53.35233416666667
2017-09-08,51.39718250000001
2017-09-09,44.86178208333334
2017-09-10,41.83553333333332
2017-09-11,47.65563125
2017-09-12,46.0712225
2017-09-13,52.743990833333335
2017-09-14,46.744188333333334
2017-09-15,49.554315
2017-09-16,42.19511041666667
2017-09-17,40.48878
2017-09-18,47.85419125000001
2017-09-19,45.70753458333334
2017-09-20,45.21864375000001
2017-09-21,52.72136333333335
2017-09-22,54.18133874999998
2017-09-23,50.03168458333334
2017-09-24,44.87802833333333
2017-09-25,53.14875916666667
2017-09-26,52.32754291666666
2017-09-27,50.69884374999999
2017-09-28,52.151943750000015
2017-09-29,53.10173583333333
2017-09-30,46.44032874999999
2017-10-01,47.96493000000001
2017-10-02,54.312333333333335
2017-10-03,54.08886041666667
2017-10-04,55.76074375000001
2017-10-05,56.66247333333333
2017-10-06,55.22398916666666
2017-10-07,43.84233291666666
2017-10-08,46.893414166666666
2017-10-09,58.881115
2017-10-10,65.02607875
2017-10-11,60.74559833333333
2017-10-12,57.56732333333333
2017-10-13,56.34159708333334
2017-10-14,48.952118333333324
2017-10-15,43.79404458333334
2017-10-16,53.158967916666676
2017-10-17,57.09339291666669
2017-10-18,57.719462083333326
2017-10-19,58.76055125
2017-10-20,57.98068708333333
2017-10-21,55.5239075
2017-10-22,47.61644625
2017-10-23,51.12432833333333
2017-10-24,54.7279475
2017-10-25,60.784203333333345
2017-10-26,61.333454166666655
2017-10-27,60.447434583333326
2017-10-28,50.02010416666667
2017-10-29,48.346684583333335
2017-10-30,54.83516416666668
2017-10-31,59.16507000000001
2017-11-01,55.82623791666668
2017-11-02,59.66227458333333
2017-11-03,60.354712916666664
2017-11-04,52.4517275
2017-11-05,52.94425958333333
2017-11-06,64.00560875000001
2017-11-07,64.73936875
2017-11-08,73.64120750000001
2017-11-09,86.15257416666667
2017-11-10,82.409175
2017-11-11,62.256747499999996
2017-11-12,54.014260416666666
2017-11-13,66.28467458333334
2017-11-14,79.37132708333334
2017-11-15,74.8846075
2017-11-16,74.63321333333334
2017-11-17,68.07952
2017-11-18,58.19358333333334
2017-11-19,58.12373333333334
2017-11-20,68.00788916666666
2017-11-21,65.67134666666666
2017-11-22,68.51235958333332
2017-11-23,70.81103208333333
2017-11-24,67.49742708333336
