DateTime,Location,Commodity Name,Demand/Usage,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
2017-05-28 09:00:00,Meter 1 Electricity,Electricity Usage (kWh),280.8,,,,
2017-05-28 10:00:00,Meter 1 Electricity,Electricity Usage (kWh),306.6,,,,
2017-05-28 11:00:00,Meter 1 Electricity,Electricity Usage (kWh),343.8,,,,
2017-05-28 12:00:00,Meter 1 Electricity,Electricity Usage (kWh),364.2,,,,
2017-05-28 13:00:00,Meter 1 Electricity,Electricity Usage (kWh),377.4,,,,
2017-05-28 14:00:00,Meter 1 Electricity,Electricity Usage (kWh),378.6,,,,
2017-05-28 15:00:00,Meter 1 Electricity,Electricity Usage (kWh),369.0,,,,
2017-05-28 16:00:00,Meter 1 Electricity,Electricity Usage (kWh),376.8,,,,
2017-05-28 17:00:00,Meter 1 Electricity,Electricity Usage (kWh),368.4,,,,
2017-05-28 18:00:00,Meter 1 Electricity,Electricity Usage (kWh),361.8,,,,
2017-05-28 19:00:00,Meter 1 Electricity,Electricity Usage (kWh),358.2,,,,
2017-05-28 20:00:00,Meter 1 Electricity,Electricity Usage (kWh),370.2,,,,
2017-05-28 21:00:00,Meter 1 Electricity,Electricity Usage (kWh),384.6,,,,
2017-05-28 22:00:00,Meter 1 Electricity,Electricity Usage (kWh),342.6,,,,
2017-05-28 23:00:00,Meter 1 Electricity,Electricity Usage (kWh),321.0,,,,
2017-05-29 00:00:00,Meter 1 Electricity,Electricity Usage (kWh),309.0,,,,
2017-05-29 01:00:00,Meter 1 Electricity,Electricity Usage (kWh),277.2,,,,
2017-05-29 02:00:00,Meter 1 Electricity,Electricity Usage (kWh),267.6,,,,
2017-05-29 03:00:00,Meter 1 Electricity,Electricity Usage (kWh),259.8,,,,
2017-05-29 04:00:00,Meter 1 Electricity,Electricity Usage (kWh),260.4,,,,
2017-05-29 05:00:00,Meter 1 Electricity,Electricity Usage (kWh),265.8,,,,
2017-05-29 06:00:00,Meter 1 Electricity,Electricity Usage (kWh),267.0,,,,
2017-05-29 07:00:00,Meter 1 Electricity,Electricity Usage (kWh),264.0,,,,
2017-05-29 08:00:00,Meter 1 Electricity,Electricity Usage (kWh),271.2,,,,
2017-05-29 09:00:00,Meter 1 Electricity,Electricity Usage (kWh),287.4,,,,
2017-05-29 10:00:00,Meter 1 Electricity,Electricity Usage (kWh),292.2,,,,
2017-05-29 11:00:00,Meter 1 Electricity,Electricity Usage (kWh),315.0,,,,
2017-05-29 12:00:00,Meter 1 Electricity,Electricity Usage (kWh),313.2,,,,
2017-05-29 13:00:00,Meter 1 Electricity,Electricity Usage (kWh),327.6,,,,
2017-05-29 14:00:00,Meter 1 Electricity,Electricity Usage (kWh),330.0,,,,
2017-05-29 15:00:00,Meter 1 Electricity,Electricity Usage (kWh),328.2,,,,
2017-05-29 16:00:00,Meter 1 Electricity,Electricity Usage (kWh),328.8,,,,
2017-05-29 17:00:00,Meter 1 Electricity,Electricity Usage (kWh),322.2,,,,
2017-05-29 18:00:00,Meter 1 Electricity,Electricity Usage (kWh),319.8,,,,
2017-05-29 19:00:00,Meter 1 Electricity,Electricity Usage (kWh),334.2,,,,
2017-05-29 20:00:00,Meter 1 Electricity,Electricity Usage (kWh),310.8,,,,
2017-05-29 21:00:00,Meter 1 Electricity,Electricity Usage (kWh),309.0,,,,
2017-05-29 22:00:00,Meter 1 Electricity,Electricity Usage (kWh),307.8,,,,
2017-05-29 23:00:00,Meter 1 Electricity,Electricity Usage (kWh),307.8,,,,
2017-05-30 00:00:00,Meter 1 Electricity,Electricity Usage (kWh),295.2,,,,
2017-05-30 01:00:00,Meter 1 Electricity,Electricity Usage (kWh),286.8,,,,
